event_id,description,total_cost,paid_by,participants
3b44905b-f4fd-44c9-8024-85d0019ee16a,Sách và tài liệu chung,1075000,Person_1,Person_10;Person_11;Person_8;Person_15;Person_1
4e2c5eb9-ad2c-4378-92b4-10c2b49f665a,Tiệc cuối tuần,1761000,Person_14,Person_13;Person_5;Person_18;Person_14;Person_3;Person_8
51ef3fcd-bed2-4d17-ba20-65cdb2195ba5,Đồ ăn vặt cho nhóm,1737000,Person_11,Person_15;Person_10;Person_8;Person_11
75a918a0-eb8a-45a0-9f31-66c4ab8d61a9,Đồ ăn vặt cho nhóm,1845004,Person_19,Person_15;Person_11;Person_10;Person_7;Person_16;Person_17;Person_14;Person_4;Person_20;Person_8;Person_19;Person_2;Person_3;Person_1
9ffda62c-fcb0-4553-a7b1-115740c68ba1,Tiền điện nước chia sẻ,1450000,Person_20,Person_16;Person_7;Person_11;Person_4;Person_9;Person_15;Person_20;Person_6;Person_3;Person_18;Person_12;Person_17;Person_2;Person_19;Person_13;Person_5
6f5642b5-f667-469c-8caa-dc1b88ed30c9,Mua đồ dùng văn phòng,966000,Person_20,Person_1;Person_4;Person_20;Person_13;Person_9
4accdd74-08a2-47e6-a67b-650664ef357c,Vé xem phim,98001,Person_3,Person_20;Person_3;Person_17
ec0b203a-6e2f-4b2b-a02a-f93cc940b219,Cà phê nhóm,1995008,Person_14,Person_4;Person_7;Person_14;Person_19;Person_9;Person_12;Person_15;Person_3;Person_20;Person_18;Person_13;Person_1;Person_10;Person_8;Person_17;Person_11
ccab001c-7da5-4eb6-9071-bb6286a7b745,Đồ ăn vặt cho nhóm,721008,Person_11,Person_8;Person_13;Person_5;Person_11;Person_4;Person_17;Person_3;Person_18;Person_12;Person_14;Person_20;Person_1;Person_19;Person_9;Person_7;Person_2;Person_10;Person_15
d172914c-3cbc-4d19-8abf-d17c5b1b4e12,Thực phẩm cho bữa tối chung,293000,Person_5,Person_19;Person_1;Person_2;Person_9;Person_5;Person_8;Person_20;Person_3;Person_15;Person_13
88387375-2a0b-4ac8-9072-d0fa7c8768f8,Tiệc cuối tuần,1096000,Person_5,Person_14;Person_18;Person_4;Person_1;Person_5
df3caf73-b0fc-46fe-80db-96381571dbcb,Đồ ăn vặt cho nhóm,166991,Person_18,Person_12;Person_13;Person_15;Person_5;Person_10;Person_3;Person_2;Person_4;Person_9;Person_16;Person_7;Person_14;Person_6;Person_18;Person_11;Person_17;Person_1;Person_19;Person_8
45d72e25-13d3-4d0b-9dfa-6bdcfe9e6853,Đồ ăn vặt cho nhóm,1158000,Person_14,Person_18;Person_15;Person_12;Person_1;Person_9;Person_19;Person_10;Person_14;Person_2;Person_8
4b3c777d-78a1-4dbd-922a-283ed5dba644,Tiền điện nước chia sẻ,367008,Person_7,Person_13;Person_10;Person_9;Person_20;Person_14;Person_1;Person_5;Person_15;Person_8;Person_11;Person_12;Person_6;Person_3;Person_7;Person_2;Person_18
d94376e2-f079-4ae7-9125-134da0b3405c,Thực phẩm cho bữa tối chung,685998,Person_8,Person_6;Person_10;Person_13;Person_4;Person_5;Person_8;Person_14;Person_1;Person_7;Person_17;Person_20;Person_16;Person_11;Person_15;Person_19;Person_2;Person_18;Person_9
4e62f3ab-bf4a-44f3-bea1-5e485cb40fa3,Đồ ăn vặt cho nhóm,1953000,Person_4,Person_4;Person_6;Person_18;Person_15;Person_3;Person_19;Person_16;Person_9
e63878f6-76d0-4577-8a03-19b07f1c7a37,Tiền điện nước chia sẻ,1495000,Person_5,Person_10;Person_8;Person_1;Person_5
f7a373f8-74e3-42c8-a812-7003650da2c7,Tiệc cuối tuần,367000,Person_19,Person_12;Person_8;Person_9;Person_19;Person_1;Person_13;Person_6;Person_10
583dcc2a-e0e8-44c0-b525-39a1b1ad5a3a,Đồ ăn vặt cho nhóm,165000,Person_9,Person_5;Person_8;Person_15;Person_13;Person_7;Person_19;Person_10;Person_9
cda891de-3b91-4fee-9768-c6977b45bfa0,Đi lại chung (taxi/grab),1223000,Person_20,Person_20;Person_12;Person_11;Person_6;Person_2;Person_10;Person_19;Person_16;Person_18;Person_5
b156d13f-48c1-47e7-ae0d-6217584ad18b,Đăng ký dịch vụ trực tuyến dùng chung,563000,Person_15,Person_3;Person_9;Person_11;Person_4;Person_15
1870ce5d-57f5-4b88-8004-3498b89e676e,Tiệc cuối tuần,742005,Person_9,Person_12;Person_5;Person_3;Person_6;Person_9;Person_4;Person_8;Person_14;Person_20;Person_16;Person_2
bb2cbb65-ee6f-47f9-9314-ef26ee33aea6,Hoạt động team building,1450001,Person_16,Person_12;Person_9;Person_5;Person_6;Person_16;Person_19;Person_14
0584e676-6ee9-48bb-b276-086fa5b1eca3,Đi lại chung (taxi/grab),439994,Person_6,Person_15;Person_11;Person_2;Person_12;Person_8;Person_19;Person_13;Person_6;Person_5;Person_1;Person_14;Person_16;Person_17;Person_10;Person_7;Person_4;Person_3
bbd0f14f-21df-4422-8dcf-77810a7a3f4c,Tiền điện nước chia sẻ,1171002,Person_15,Person_13;Person_15;Person_3;Person_7;Person_18;Person_16;Person_9
cd661cdf-09a4-47f1-b94d-2ca46a40f8a9,Tiệc cuối tuần,1959000,Person_14,Person_7;Person_2;Person_10;Person_1;Person_16;Person_20;Person_9;Person_19;Person_14;Person_15;Person_13;Person_5;Person_17;Person_6;Person_3;Person_11;Person_18;Person_4;Person_8;Person_12
af3b0659-7a11-4746-b5c4-35d593fab5eb,Sách và tài liệu chung,322000,Person_3,Person_3;Person_4
3c441ea8-5d62-4c5e-b1c7-9c96e2046a1b,Hoạt động team building,463000,Person_7,Person_7;Person_20
89a10952-7c59-4d0f-a40d-9467c19033a2,Cà phê nhóm,1456000,Person_14,Person_5;Person_12;Person_10;Person_16;Person_4;Person_7;Person_8;Person_13;Person_18;Person_2;Person_9;Person_14;Person_3;Person_1
15c0e163-da02-4442-a395-63bb0e038caf,Đăng ký dịch vụ trực tuyến dùng chung,146000,Person_11,Person_5;Person_18;Person_3;Person_6;Person_1;Person_9;Person_13;Person_11
8f76f6bd-98f3-492a-9c32-13a9f478f525,Tiệc cuối tuần,981000,Person_7,Person_9;Person_2;Person_15;Person_7;Person_17
9151fa7d-5482-4c1c-97ae-a08597ad692d,Ăn trưa chung,365001,Person_19,Person_11;Person_14;Person_7;Person_9;Person_19;Person_6;Person_17;Person_5;Person_18;Person_4;Person_8;Person_2;Person_20
5d340ac7-204c-4325-b18c-ce389498765f,Sách và tài liệu chung,1074000,Person_13,Person_11;Person_8;Person_10;Person_1;Person_15;Person_14;Person_4;Person_9;Person_13;Person_20;Person_2;Person_18;Person_16;Person_5;Person_6;Person_12
0b60b98e-b24b-49df-8a1a-f8f3cd0deb14,Đăng ký dịch vụ trực tuyến dùng chung,77004,Person_14,Person_16;Person_10;Person_15;Person_20;Person_1;Person_8;Person_14;Person_6;Person_13;Person_5;Person_18;Person_3
ce6aa787-e124-40c9-94b2-ab244ed09e2f,Đồ ăn vặt cho nhóm,140004,Person_17,Person_19;Person_14;Person_4;Person_17;Person_13;Person_12;Person_3;Person_16;Person_18;Person_5;Person_1;Person_9;Person_20;Person_15;Person_10;Person_8;Person_2;Person_7
94969189-3347-4d18-8647-9ce088d8ba80,Ăn trưa chung,1915000,Person_19,Person_6;Person_11;Person_19;Person_18;Person_16
dcbf8067-f17d-47b7-87dc-0a6c778930be,Thiết bị nhỏ cho dự án,1640000,Person_5,Person_16;Person_5
5306bda5-1699-45f9-bb73-e759864119a0,Hoạt động team building,835003,Person_1,Person_16;Person_12;Person_20;Person_10;Person_9;Person_1;Person_18;Person_13;Person_11;Person_2;Person_17;Person_4;Person_3
df658e29-558b-4048-a364-46df565250f6,Thực phẩm cho bữa tối chung,987999,Person_1,Person_16;Person_8;Person_1
f5692146-f7f3-405f-be44-9e9ffc5b9c68,Sách và tài liệu chung,1514997,Person_16,Person_3;Person_13;Person_14;Person_18;Person_8;Person_6;Person_5;Person_11;Person_4;Person_16;Person_1
bb631b46-99e6-461f-bfb1-96fdae1dcf67,Vé xem phim,1035000,Person_1,Person_2;Person_16;Person_6;Person_19;Person_3;Person_7;Person_18;Person_5;Person_9;Person_4;Person_1;Person_17;Person_12;Person_10;Person_13
2d34843f-1017-4c8e-bbef-152988d2de48,Thực phẩm cho bữa tối chung,1060992,Person_7,Person_1;Person_19;Person_13;Person_12;Person_8;Person_6;Person_15;Person_16;Person_14;Person_18;Person_3;Person_20;Person_4;Person_7;Person_10;Person_9;Person_2;Person_5
9f0b5bb5-73c9-4430-8fa0-8731aa2af5f2,Đồ dùng sinh hoạt chung,1411998,Person_17,Person_20;Person_8;Person_12;Person_17;Person_5;Person_13;Person_18
97672143-1799-40c1-a980-d76b17ab0a89,Sách và tài liệu chung,1870998,Person_7,Person_18;Person_15;Person_4;Person_7;Person_12;Person_2
01a90d0e-58de-4823-86c5-a91e40941a59,Đồ dùng sinh hoạt chung,1858000,Person_12,Person_12;Person_1;Person_11;Person_13
272589fa-8936-4a45-b11d-26505ad51620,Đồ ăn vặt cho nhóm,1246000,Person_11,Person_12;Person_19;Person_18;Person_17;Person_20;Person_1;Person_11;Person_2;Person_3;Person_16
2d3a4da5-1cde-4ff9-9847-7f5b7835386a,Tiền điện nước chia sẻ,394000,Person_11,Person_4;Person_12;Person_14;Person_6;Person_11
35318cf3-f76e-4215-810f-bcf6d6d7fa1c,Tiệc cuối tuần,1650003,Person_4,Person_10;Person_13;Person_4;Person_1;Person_16;Person_3;Person_9;Person_8;Person_2;Person_15;Person_17;Person_19;Person_20;Person_14;Person_11;Person_5;Person_7
2c3c9e5b-d07f-4c2d-9ad5-95b6121eceb5,Vé xem phim,237000,Person_11,Person_6;Person_16;Person_12;Person_2;Person_14;Person_19;Person_20;Person_15;Person_17;Person_5;Person_7;Person_11;Person_3;Person_10;Person_8
05eeccc6-28ee-42a1-9f72-8969a0894591,Đăng ký dịch vụ trực tuyến dùng chung,245000,Person_19,Person_19;Person_1;Person_14;Person_8
d51fc1ab-9057-4d05-a7f0-16fde9996d3f,Thực phẩm cho bữa tối chung,822996,Person_19,Person_12;Person_17;Person_13;Person_2;Person_14;Person_20;Person_10;Person_7;Person_19;Person_16;Person_15;Person_8
36bd8160-460c-4545-851f-4912c7f619e3,Tiền điện nước chia sẻ,703000,Person_7,Person_7;Person_13;Person_8;Person_9;Person_10;Person_4;Person_11;Person_18
9923954b-3b6b-4043-a199-710d163806da,Vé xem phim,537000,Person_13,Person_14;Person_13
6587e73f-e60b-4905-a1a1-b9fb8acfd981,Vé xem phim,834999,Person_12,Person_5;Person_12;Person_4
b1c2cbf5-a41e-49d9-bba0-7cae393f5ef2,Ăn trưa chung,1859001,Person_10,Person_17;Person_10;Person_4
492bcf02-b68b-4870-a4bc-fed4c086f795,Đăng ký dịch vụ trực tuyến dùng chung,416003,Person_1,Person_16;Person_1;Person_19;Person_5;Person_12;Person_20;Person_9
def42a46-5ddb-493f-839a-b517282261a2,Đăng ký dịch vụ trực tuyến dùng chung,1642003,Person_3,Person_16;Person_9;Person_13;Person_17;Person_2;Person_3;Person_12;Person_5;Person_11;Person_10;Person_18
f84870d1-0daf-4fcc-a83d-017227bf51be,Tiền điện nước chia sẻ,1047000,Person_10,Person_18;Person_19;Person_13;Person_3;Person_10;Person_6;Person_1;Person_12
c495bd5f-d3ba-4293-abb3-20aca172f9c2,Tiền điện nước chia sẻ,1618002,Person_11,Person_8;Person_17;Person_10;Person_3;Person_9;Person_5;Person_11;Person_2;Person_16
7983bb16-5aca-4466-ae56-fd6936f6fd06,Hoạt động team building,164996,Person_10,Person_13;Person_17;Person_16;Person_20;Person_12;Person_11;Person_3;Person_6;Person_7;Person_9;Person_5;Person_8;Person_10
4b7cdd94-1b39-49be-8001-2e1e9e334bce,Thực phẩm cho bữa tối chung,1133001,Person_20,Person_15;Person_20;Person_7
d220aeb1-a29b-4f4c-a292-72c2373c9831,Mua đồ dùng văn phòng,597006,Person_6,Person_9;Person_12;Person_4;Person_18;Person_10;Person_2;Person_6;Person_14;Person_7;Person_3;Person_5;Person_8;Person_15;Person_13;Person_19;Person_16;Person_20;Person_11
c393857c-2c8b-40c8-bd70-2e71977e2dfa,Đồ ăn vặt cho nhóm,1820995,Person_12,Person_8;Person_5;Person_9;Person_13;Person_10;Person_7;Person_6;Person_17;Person_12;Person_16;Person_14
4c147b02-c9df-4471-b4ec-05101ac2da5e,Sách và tài liệu chung,1156998,Person_18,Person_4;Person_18;Person_3;Person_11;Person_15;Person_17
9a65e7c1-215b-407a-9d82-f99e05ec16ed,Hoạt động team building,852000,Person_16,Person_19;Person_3;Person_16;Person_2;Person_18;Person_4
5f246988-8f78-479c-8f91-5caa8248da12,Cà phê nhóm,982000,Person_15,Person_8;Person_15;Person_1;Person_19;Person_12
